# x,y,color
230.38,141.27,2
281.26,127.42,0
157.53,158.89,3
107.35,175.96,0
148.12,161.81,3
248.77,38.54,0
84.62,92.92,0
150.16,204.91,0
145.50,147.41,3
246.40,43.35,0
223.23,160.02,2
198.58,23.49,0
223.14,145.42,2
141.66,152.99,3
158.79,28.93,0
84.82,105.57,0
166.51,162.68,3
219.57,203.01,0
92.59,83.24,0
89.16,98.62,0
161.37,219.76,0
99.68,160.38,0
160.77,19.16,0
88.25,146.75,0
145.87,166.28,3
149.19,153.84,3
86.85,88.16,0
176.83,27.73,0
85.11,109.65,0
187.65,19.75,0
172.65,18.20,0
137.85,30.31,0
85.24,87.66,0
156.17,203.48,0
179.92,68.96,1
197.68,75.28,1
261.64,54.39,0
151.43,165.15,3
110.81,51.68,0
267.87,178.01,0
102.90,179.85,0
109.61,177.32,0
159.56,137.01,3
264.98,53.50,0
100.80,158.85,0
188.64,77.36,1
286.27,78.52,0
152.72,75.31,1
240.55,200.20,0
109.52,50.45,0
159.27,205.89,0
156.78,206.52,0
218.32,80.22,1
152.17,141.46,3
101.29,167.75,0
144.97,76.78,1
97.13,151.62,0
94.76,143.96,0
149.30,144.86,3
101.37,56.96,0
147.89,203.29,0
146.04,206.78,0
272.79,166.94,0
281.88,100.59,0
142.79,209.22,0
133.41,30.08,0
157.59,31.86,0
102.91,189.15,0
181.18,27.38,0
229.43,28.45,0
214.26,153.01,2
141.25,142.59,3
136.70,197.66,0
99.91,151.84,0
213.13,143.76,2
216.96,145.52,2
212.07,206.56,0
166.61,80.18,1
143.39,93.42,1
225.84,136.08,2
230.12,83.86,1
196.01,213.16,0
148.06,131.96,3
144.07,201.85,0
188.99,73.77,1
108.95,176.75,0
225.25,155.14,2
164.58,72.71,1
283.53,150.65,0
156.46,215.27,0
158.37,157.99,3
188.84,64.93,1
174.00,77.52,1
154.70,20.00,0
255.98,193.27,0
131.57,199.47,0
155.37,73.33,1
155.07,134.65,3
167.20,144.44,3
220.17,134.45,2
165.99,62.99,1
288.56,106.46,0
136.75,196.68,0
200.65,27.96,0
275.54,170.11,0
190.85,215.59,0
162.55,67.27,1
283.73,154.18,0
170.86,63.67,1
237.84,198.45,0
223.66,80.80,1
282.33,102.16,0
90.33,48.43,0
208.89,86.65,1
164.99,149.25,3
180.49,61.62,1
152.60,144.93,3
195.45,77.72,1
147.57,149.01,3
165.39,156.85,3
88.13,128.07,0
230.81,92.94,1
164.90,23.95,0
238.50,32.32,0
151.91,85.67,1
143.96,145.45,3
91.48,135.00,0
101.25,171.85,0
93.51,67.93,0
180.54,209.95,0
123.76,40.23,0
279.29,155.85,0
228.74,143.22,2
135.14,205.41,0
148.27,204.72,0
219.72,74.25,1
97.63,57.62,0
185.50,74.11,1
248.35,194.62,0
272.94,74.06,0
216.33,151.93,2
194.45,69.90,1
235.18,37.83,0
100.44,162.79,0
110.59,183.99,0
165.28,74.20,1
109.06,63.49,0
131.63,37.25,0
90.97,124.48,0
143.11,198.75,0
199.49,74.91,1
163.83,75.92,1
222.22,164.07,2
89.42,70.56,0
91.36,76.16,0
220.68,173.01,2
285.93,151.93,0
209.41,209.07,0
171.42,69.46,1
219.71,134.30,2
203.15,84.02,1
207.90,207.69,0
120.03,198.20,0
184.53,69.04,1
158.99,160.29,3
229.22,137.65,2
227.83,87.74,1
129.45,44.38,0
163.50,215.24,0
135.60,88.67,1
228.88,136.58,2
152.39,140.89,3
138.28,204.48,0
144.75,96.18,1
98.04,71.16,0
280.82,144.82,0
165.04,159.58,3
150.99,89.27,1
244.22,41.33,0
162.45,80.69,1
235.63,102.80,1
142.51,152.02,3
143.04,95.50,1
216.12,147.26,2
155.90,158.40,3
262.19,188.56,0
218.52,97.35,1
210.55,79.72,1
160.96,67.85,1
214.86,26.45,0
